Date,Portfolio
2022-01-20,0.06649947968030047
2022-01-21,0.06721568126190886
2022-01-24,0.06734461847765678
2022-01-25,0.06598990570753613
2022-01-26,0.06683151936234524
2022-01-27,0.06723939364806988
2022-01-28,0.06837598831179575
2022-01-31,0.069609401255905
2022-02-01,0.06959300137765397
2022-02-02,0.07000442841045974
2022-02-03,0.07187715379240726
2022-02-04,0.0692577349085064
2022-02-07,0.06926147047711033
2022-02-08,0.06934716760705847
2022-02-09,0.06947026806511802
2022-02-10,0.07142439539772008
2022-02-11,0.07150505190639608
2022-02-14,0.07141715203313927
2022-02-15,0.0714250202584456
2022-02-16,0.07179717821188128
2022-02-17,0.07151849996328712
2022-02-18,0.07151554681473206
2022-02-22,0.07049505945733486
2022-02-23,0.0703524737999573
2022-02-24,0.07024921106888928
2022-02-25,0.07119437060592738
2022-02-28,0.07159792959496776
2022-03-01,0.07154503983456652
2022-03-02,0.07160635417098622
2022-03-03,0.07153515570530233
2022-03-04,0.07164417344813005
2022-03-07,0.07237085340653164
2022-03-08,0.0728602174672934
2022-03-09,0.07290921908882039
2022-03-10,0.07292339177757033
2022-03-11,0.07372174424173666
2022-03-14,0.07567770143910373
2022-03-15,0.07567698414946605
2022-03-16,0.0775651973488455
2022-03-17,0.07715580176452415
2022-03-18,0.07721180288636008
2022-03-21,0.07714797086262978
2022-03-22,0.07711854465412209
2022-03-23,0.07716957810876772
2022-03-24,0.07778070937856217
2022-03-25,0.07782838120211888
2022-03-28,0.07794256603418402
2022-03-29,0.07824687071947588
2022-03-30,0.07829471316948032
2022-03-31,0.07865321138464319
2022-04-01,0.07679119096774185
2022-04-04,0.07684952490588086
2022-04-05,0.07826734342153488
2022-04-06,0.07801698502002857
2022-04-07,0.07787914323939832
2022-04-08,0.07683248753742711
2022-04-11,0.07723895246154452
2022-04-12,0.07722589951595694
2022-04-13,0.07783129559109102
2022-04-14,0.07885335752635748
2022-04-18,0.07792201843034031
2022-04-19,0.07794813224422452
2022-04-20,0.07789913263782697
2022-04-21,0.07842470545389009
2022-04-22,0.08126134655627595
2022-04-25,0.08079812371147153
2022-04-26,0.08082617398262634
2022-04-27,0.0808862322312962
2022-04-28,0.08257940026618335
2022-04-29,0.08503854141008056
2022-05-02,0.08517087668493524
2022-05-03,0.08443180580484277
2022-05-04,0.08781670557340823
2022-05-05,0.09121110305598398
2022-05-06,0.09123660483918332
2022-05-09,0.0937669360008113
2022-05-10,0.09362575696405505
2022-05-11,0.09316071046689554
2022-05-12,0.09249339429108462
2022-05-13,0.09272910334811002
2022-05-16,0.09195086663205734
2022-05-17,0.09190753737585575
2022-05-18,0.09364502348017455
2022-05-19,0.09392787596978042
2022-05-20,0.0928965803556706
2022-05-23,0.09354486040370937
2022-05-24,0.09343696513214474
2022-05-25,0.09349712814973914
2022-05-26,0.09298772175915308
2022-05-27,0.0936813392114778
2022-05-31,0.09404992533168886
2022-06-01,0.09360494020594017
2022-06-02,0.0952324725461281
2022-06-03,0.09621473846856353
2022-06-06,0.09553037751419892
2022-06-07,0.09596429115655808
2022-06-08,0.09535057389439075
2022-06-09,0.09532737001287693
2022-06-10,0.09596404030088615
2022-06-13,0.10459839068092813
2022-06-14,0.1038885259581406
2022-06-15,0.10619697311154751
2022-06-16,0.10642409690577335
2022-06-17,0.10620436592261245
2022-06-21,0.10612199686324632
2022-06-22,0.10527598301848713
2022-06-23,0.10529188899190137
2022-06-24,0.10651050301550631
2022-06-27,0.10651837330509259
2022-06-28,0.10660754441906192
2022-06-29,0.10666897215169384
2022-06-30,0.10675067107419499
2022-07-01,0.10732881679563928
2022-07-05,0.10728895982977145
2022-07-06,0.10757195846538803
2022-07-07,0.10711473073823656
2022-07-08,0.10661179162368085
2022-07-11,0.10647141677502552
2022-07-12,0.10654824698155502
2022-07-13,0.10651049441061299
2022-07-14,0.10645157090977705
2022-07-15,0.10686363165950903
2022-07-18,0.10641065691459597
2022-07-19,0.10767418366406926
2022-07-20,0.10766704672290861
2022-07-21,0.10917553306769988
2022-07-22,0.10798670881879865
2022-07-25,0.1079885984145569
2022-07-26,0.10600149629457686
2022-07-27,0.1078274462440477
2022-07-28,0.10915181068168964
2022-07-29,0.10970215892533061
2022-08-01,0.1098572625844905
2022-08-02,0.1103555197157357
2022-08-03,0.11050657263595594
2022-08-04,0.11101952887937556
2022-08-05,0.11156718881774955
2022-08-08,0.11135755056154766
2022-08-09,0.11128849919699149
2022-08-10,0.11165279827931707
2022-08-11,0.11170122270417521
2022-08-12,0.11274582517894752
2022-08-15,0.11191084092093462
2022-08-16,0.11184191235758018
2022-08-17,0.11212080844328143
2022-08-18,0.1121256639781626
2022-08-19,0.1126228319877223
2022-08-22,0.11367954258341915
2022-08-23,0.11316743852888482
2022-08-24,0.11259493255900144
2022-08-25,0.11335733182424268
2022-08-26,0.11592834612101785
2022-08-29,0.11580150414512985
2022-08-30,0.11565278064437377
2022-08-31,0.11422204726132101
2022-09-01,0.1143023157570479
2022-09-02,0.11380174806090447
2022-09-06,0.11403950191881748
2022-09-07,0.11436436669591826
2022-09-08,0.11229184199227264
2022-09-09,0.11246583593392447
2022-09-12,0.11261812897703036
2022-09-13,0.1143005527230968
2022-09-14,0.11145714381883978
2022-09-15,0.1126707565618227
2022-09-16,0.11051233008024819
2022-09-19,0.11059557428921958
2022-09-20,0.11113404445632052
2022-09-21,0.1109589284135135
2022-09-22,0.11110268606539751
2022-09-23,0.11246660560293982
2022-09-26,0.11347418367442308
2022-09-27,0.1120967471050023
2022-09-28,0.11629817417410623
2022-09-29,0.11685222520744397
2022-09-30,0.11662663592858287
2022-10-03,0.1213163169100863
2022-10-04,0.12412025683535373
2022-10-05,0.12383825618055219
2022-10-06,0.12330507330945131
2022-10-07,0.12497747128189295
2022-10-10,0.12565138405781184
2022-10-11,0.12418297818625774
2022-10-12,0.1235282858351082
2022-10-13,0.12384825209434344
2022-10-14,0.12482899454037083
2022-10-17,0.12600565049477094
2022-10-18,0.12571514337353837
2022-10-19,0.12595844529073558
2022-10-20,0.11867258413918602
2022-10-21,0.12085833725554475
2022-10-24,0.11905782020342716
2022-10-25,0.11980224278199225
2022-10-26,0.11978492868754449
2022-10-27,0.1193781890624347
2022-10-28,0.11934403026815724
2022-10-31,0.1196065965309242
2022-11-01,0.11866572651263295
2022-11-02,0.11994163058165631
2022-11-03,0.11980285598192122
2022-11-04,0.12228593422785763
2022-11-07,0.12219912148416577
2022-11-08,0.12324066280135504
2022-11-09,0.12354166667973993
2022-11-10,0.13584189250318107
2022-11-11,0.13589319604511374
2022-11-14,0.1359570681962572
2022-11-15,0.13615758118324883
2022-11-16,0.1360471435754235
2022-11-17,0.13630353341570098
2022-11-18,0.1358679111690338
2022-11-21,0.13555894239970723
2022-11-22,0.13582214080754956
2022-11-23,0.13534069488551465
2022-11-25,0.13531916603639393
2022-11-28,0.13453960954448385
2022-11-29,0.1345379586469947
2022-11-30,0.13739495088495612
2022-12-01,0.1379931756661227
2022-12-02,0.13650124169848196
2022-12-05,0.13752648777615853
2022-12-06,0.13720677325087544
2022-12-07,0.13736041283566475
2022-12-08,0.13685265208595057
2022-12-09,0.1363850778597938
2022-12-12,0.13603612865367673
2022-12-13,0.13660775775794867
2022-12-14,0.13652688439880153
2022-12-15,0.13824235210081476
2022-12-16,0.13781491446101005
2022-12-19,0.1380510193203122
2022-12-20,0.13723121558239532
2022-12-21,0.1374678489775764
2022-12-22,0.13822005915836377
2022-12-23,0.13794859672998014
2022-12-27,0.13794510217353168
2022-12-28,0.13762865879637265
2022-12-29,0.13744597841846928
2022-12-30,0.1374303482594471
2023-01-03,0.13753333411589055
2023-01-04,0.13752917776386475
2023-01-05,0.13584472201501024
2023-01-06,0.1385977398798337
2023-01-09,0.13817918883321803
2023-01-10,0.1377552006518197
2023-01-11,0.13784313326254996
2023-01-12,0.13837252025841826
2023-01-13,0.138086178424392
2023-01-17,0.13711030387376125
2023-01-18,0.1372348242044099
2023-01-19,0.1368883980686316
2023-01-20,0.1368084915926957
2023-01-23,0.13263149827692397
2023-01-24,0.13266284965607147
2023-01-25,0.13129237912652958
2023-01-26,0.13127732801676462
2023-01-27,0.1312634533178594
2023-01-30,0.13106439085363333
2023-01-31,0.13136908913169118
2023-02-01,0.13161190330104858
2023-02-02,0.12999110355419782
2023-02-03,0.1311393861500109
2023-02-06,0.1312305943182485
2023-02-07,0.12812013888602508
2023-02-08,0.12734608347032325
2023-02-09,0.12741228042860783
2023-02-10,0.12361392679634978
2023-02-13,0.1212771010073878
2023-02-14,0.12103231748489651
2023-02-15,0.12085423798223362
2023-02-16,0.11868967757333605
2023-02-17,0.11759065291970547
